명칭,시작,끝,합계,대한청년단,한국민주당,대한독립촉성국민회,대동청년단,대한독립촉성농민총연맹,대한독립촉성노동총연맹,조선민족청년단,조선민주당,교육협회,단민당,한국독립당,기타 군소정당,무소속,민주국민당,대한국민당,대한노동총연맹,일민구락부,사회당,민족자립연맹,대한부인회,중앙불교위원회,여자국민당,자유당,제헌국회의원동지회,민주당,통일당,사회대중당,한국사회당,헌정동지회,민주공화당,민정당,국민의당,자유민주당,신민당,대중당,국민당,민중당,민주통일당,민주정의당,민주한국당,한국국민당,민권당,민주사회당,신정당,민주농민당,안민당,신한민주당,신정사회당,신민주당,통일민주당,평화민주당,신민주공화당,한겨레민주당,민주자유당,민주당(1991),통일국민당,신정치개혁당,신한국당,새정치국민회의,통합민주당,자유민주연합,한나라당,새천년민주당,민주국민당,한국신당,열린우리당,국민통합21,민주노동당,통합민주당(2008),자유선진당,창조한국당,친박연대,새누리당,민주통합당,통합진보당
제 헌 국 회,1948-05-31,1950-05-30,200,1,29,55,12,2,1,6,1,1,1,1,5,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 대 국 회,1950-05-31,1954-05-30,210,10,,14,,,,,,,,,,126,24,24,3,3,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 대 국 회,1954-05-31,1958-05-30,203,,,3,,,,,,,,,,67,15,3,,,,,,,,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 대 국 회,1958-05-31,1960-07-28,233,,,,,,,,,,,,,26,,,,,,,,,,126,,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 대 국 회,1960-07-29,1961-05-16,233,,,,,,,,,,,,,49,,,,,,,,,,2,,175,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국가재건최고회의,1961-05-19,1963-12-16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 대 국 회,1963-12-17,1967-06-30,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,41,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 대 국 회,1967-07-01,1971-06-30,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 대 국 회,1971-07-01,1972-10-17,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,89,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 대 국 회,1973-03-12,1979-03-11,146,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,73,,,,52,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 대 국 회,1979-03-12,1980-10-27,154,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,68,,,,61,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국가보위입법회의,1980-10-28,1981-04-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 대 국 회,1981-04-11,1985-04-10,276,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,151,81,25,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 대 국 회,1985-04-11,1988-05-29,276,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,148,35,20,,,,,,67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13 대 국 회,1988-05-30,1992-05-29,299,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,59,70,35,1,,,,,,,,,,,,,,,,,,,,,,
14 대 국 회,1992-05-30,1996-05-29,299,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,97,31,1,,,,,,,,,,,,,,,,,,
15 대 국 회,1996-05-30,2000-05-29,304,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,79,15,50,,,,,,,,,,,,,,
16 대 국 회,2000-05-30,2004-05-29,273,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,133,115,2,1,,,,,,,,,,
17 대 국 회,2004-05-30,2008-05-29,299,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,121,9,,,152,1,10,,,,,,,
18 대 국 회,2008-05-30,2012-05-29,299,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,5,81,18,3,14,,,
19 대 국 회,2012-05-30,2016-05-29,300,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,152,127,13
20 대 국 회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,