대,대통령,취임,퇴임
1,이승만,1948-08-15,1952-08-14
2,이승만,1952-08-15,1956-08-14
3,이승만,1956-08-15,1960-04-26
4,윤보선,1960-08-12,1962-03-22
5,박정희,1963-12-17,1967-06-30
6,박정희,1967-07-01,1971-06-30
7,박정희,1971-07-01,1972-12-26
8,박정희,1972-12-27,1978-12-26
9,박정희,1978-12-27,1979-10-26
10,최규하,1979-12-21,1980-08-16
11,전두환,1980-09-01,1981-02-24
12,전두환,1981-02-25,1988-02-24
13,노태우,1988-02-25,1993-02-24
14,김영삼,1993-02-25,1998-02-24
15,김대중,1998-02-25,2003-02-24
16,노무현,2003-02-25,2008-02-24
17,이명박,2008-02-25,2013-02-24
18,박근혜,2013-02-25,2018-02-24